VariableName,Gas:Facility,Electricity:Facility
KeyValue,,
231,1882673187.7147553,3469646025.1137047
232,2054479173.8975296,3737495600.8768816
233,2339921296.6110754,3423946009.208077
234,2756207710.3089,2706936182.5329123
235,2952949630.43231,2619288901.30428
236,3325581246.9426403,2081711477.6835473
237,3458559448.5078664,1994037609.5945425
238,7886753.542846663,1257685015.9144459
239,7886424.9736181395,1079971889.7832985
240,35474007.17212769,1040207765.6307195
241,54821931.09079419,1043052205.0102873
242,55114106.35283523,1041649676.4502921
243,103379079.84316099,1043111063.1427097
244,84762029.6826852,1085693068.2259192
245,152376993.28112966,1264906942.4998348
246,3663893898.247681,1546863809.8815603
247,4679626804.662972,1870367417.7490547
248,3438030712.5408287,3779769963.004661
249,2873190758.2772465,3646586870.9563894
250,2341479782.3295436,3469649596.750118
251,1991314331.1866467,3469069735.421501
252,1986464430.3151376,3289637050.886633
253,1649845024.0501974,3470686059.547824
254,1354948368.5131657,3470703303.892941
255,1316619358.437293,3468259019.213474
256,1513496370.8653064,3736551494.3275156
257,1720566794.5894873,3422853708.261038
258,2013266475.5800486,2705555270.8429728
259,2091763232.3012557,2617678592.410557
260,2337881983.179689,2079785729.0900226
261,2403485996.6528935,1991925171.8270528
262,7886540.943486274,1257685017.873888
263,7886916.377222759,1079971890.757677
264,15700339.084130757,1035971987.378154
265,7886755.4040634325,1035971982.3271338
266,37535343.90886252,1043020389.4291937
267,37201410.01453375,1041617702.0829183
268,63935764.4710839,1087043530.6248605
269,60172319.96209825,1263354619.647827
270,3105979649.9628015,1544756759.1417916
271,3211949853.954687,1867192907.745371
272,2227665589.122741,3777425394.7989483
273,2160722651.8764334,3645205816.5673914
274,2059340735.793976,3469042601.09033
275,1975472071.9860961,3468910719.301015
276,2120812004.247961,3289671202.102349
277,1937908389.6350534,3468848568.573641
278,1942188631.672607,3468871359.109899
279,1951142329.2531557,3468903140.160523
280,1969092199.0310402,3737179557.0160403
281,2087983226.602514,3423353538.163979
282,2344342476.954531,2706052488.320246
283,2367565288.4656587,2618123091.9588423
284,2573257524.5695987,2080199976.504249
285,2613943864.9327974,1992317284.2098014
286,7886892.325058448,1257685022.4870949
287,7885943.799604436,1079971896.0123236
288,15701088.083761591,1035971992.025262
289,28417941.523973204,1040205642.9218732
290,52842691.10407433,1043041990.1907703
291,51591338.901972376,1041637463.3323117
292,85938456.85694386,1087073242.3436012
293,75976625.35045022,1263375964.2928944
294,3501422343.3388996,1546142039.8123565
295,3592003288.549278,1868088408.7543235
296,2335944987.536285,3777670912.2970185
297,1925856193.8921475,3644960910.221974
298,1839759768.3326666,3468879586.1357155
299,1629770479.5137143,3472196452.246199
300,1703556513.7956247,3292386472.4475207
