index,y_true,y_pred
187,320683359.21365637,360226007.9980333
188,319535636.33991784,353715252.82565033
189,314154488.55561,355252677.89675385
190,320959984.37894857,369695612.6792216
191,336186440.07109827,382493841.7723836
192,312855623.0249159,287488840.02361834
193,219823028.4251051,239787700.32730168
194,173777842.6017704,214348940.39481413
195,191564314.79957724,190773723.74127662
196,102719013.8154619,178229756.6030693
197,154475317.13306308,169265938.97845903
198,76923795.52290235,153814583.75160488
199,66606321.52290234,147708941.93245408
200,66606321.52290234,141311870.4119998
201,66606321.52290234,131611704.61774164
202,66606321.52290234,117157422.61255446
203,66606321.52290234,105115614.73932928
204,66606321.52290234,97168004.53967294
205,68754908.27317692,88228489.37938935
206,111452900.17814068,118943911.36885357
207,164133323.95709383,213036209.59402663
208,201101165.62981215,187824711.8899119
209,175598555.40505657,195745023.62465814
210,215951666.63432685,167385185.39490378
211,181151026.2283347,191864696.41144723
212,222972793.95893532,193613010.69805372
213,192065437.79561794,204857369.6373499
214,240341431.05067396,200642216.30146718
215,192296234.41409174,206818434.48316628
216,226528896.25274783,195873168.7135995
217,170515669.96120918,187846028.44235772
218,189007407.4789627,174595072.87968695
219,154302371.52343333,155722986.69764104
220,120313701.12963788,121603801.78575641
221,94788018.4141979,103846978.3264747
222,85564199.54889864,81808830.58972698
223,66606321.52290234,126198531.76274604
224,78099972.9614355,121567956.96500418
225,78099972.9614355,107587183.32004312
226,78099972.9614355,96643037.99373072
227,78099972.9614355,91499156.61164042
228,86787676.9919473,107125067.07269585
229,259874299.12102804,345204665.822985
230,327367840.7351549,435638408.365372
231,542164593.3884678,641686600.7013593
232,544995352.2293825,558501077.5542467
233,559509511.9831077,525054838.1118991
234,583741050.9057251,568709283.1840088
235,591675155.86859,631934994.269933
236,589996119.9229273,656147738.4643316
237,587119687.7855691,613957708.5541391
238,614917664.5155123,626290891.1272459
239,648420427.5781914,666409149.3619783
240,529270786.79765916,546242106.25724
241,379666278.03375316,368582188.03661764
242,315017926.0183504,363598992.4942606
243,294812672.72152233,351672710.0968267
244,297236874.37027717,335323242.3911615
245,109433179.34132703,173345043.46535337
246,161658001.5726661,157378657.65592915
247,78099972.9614355,149849666.0256292
248,104683046.0205739,152402537.9074268
249,78099972.9614355,137945328.2047232
250,78099972.9614355,128877086.18400517
251,78099972.9614355,123296696.52999103
252,86787676.9919473,138503077.633531
253,253318801.4972763,365150160.8265641
254,326427307.4173641,441268660.99092877
255,559263499.9756595,651239650.0966108
256,567338889.2780064,565804885.758418
257,579446058.0415889,541700848.8580682
258,598746615.1026627,580253908.2633207
259,610220459.3794782,635628073.7561846
260,604180805.9239565,637657440.4480795
261,595014960.3266175,594786305.9396608
262,620019358.0839403,615153784.6416972
263,653955485.1874856,658146948.1289799
264,545176826.8612993,544940983.7521025
265,396089718.1747333,365383592.2001984
266,340168171.5295521,356810564.2442887
267,302257428.9408028,353827044.0344375
268,303255218.4490242,337449369.1557878
269,179968145.38922438,190690429.52433413
270,142995265.5917371,156413793.6121211
271,78099972.9614355,146167012.00970468
272,104102942.19855283,160725506.97154468
273,78099972.9614355,148128087.95822588
274,78099972.9614355,123143119.751187
275,78099972.9614355,114031942.86462626
276,86787676.9919473,132318481.15248841
277,256480757.56608328,371185850.2513724
278,324832424.1124,442036882.6752025
279,558315903.6903814,653499547.964982
280,568468391.5673946,568240088.5866686
281,587061471.019644,539893143.7028944
282,611026774.0243974,580399692.0915341
